"data_base","uf","tcb","sr","cliente","ocupacao","cnae_secao","cnae_subclasse","porte","modalidade","origem","indexador","numero_de_operacoes","a_vencer_ate_90_dias","a_vencer_de_91_ate_360_dias","a_vencer_de_361_ate_1080_dias","a_vencer_de_1081_ate_1800_dias","a_vencer_de_1801_ate_5400_dias","a_vencer_acima_de_5400_dias","vencido_acima_de_15_dias","carteira_ativa","carteira_inadimplida_arrastada","ativo_problematico"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Cartão de crédito","Sem destinação específica","Outros indexadores","18","17618,50","220382,88","0,00","0,00","0,00","0,00","0,00","238001,38","0,00","1485,31"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Cartão de crédito","Sem destinação específica","Prefixado","12670","65711434,19","23443162,60","1384398,42","327216,68","142693,07","21098,27","2949220,83","93979224,06","2234571,29","4327403,61"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Cartão de crédito","Sem destinação específica","Pós-fixado","<= 15","1224,19","3566,73","8778,61","7499,56","15559,25","0,00","33774,57","70402,91","32934,85","70402,91"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Empréstimo com consignação em folha","Sem destinação específica","Prefixado","3207","13127720,86","34509678,69","73711190,95","45848722,54","39959232,59","0,00","550265,97","207706811,60","3184067,53","6088015,89"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Empréstimo com consignação em folha","Sem destinação específica","Pós-fixado","<= 15","0,00","0,00","0,00","0,00","0,00","100681,90","94369,45","195051,35","94369,45","195051,35"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Flutuantes","<= 15","0,00","112559,62","0,00","0,00","0,00","0,00","0,00","112559,62","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Prefixado","1628","6651369,48","15443259,99","19150223,24","8722278,81","5168121,68","0,00","709730,13","55844983,33","2562986,05","4253914,32"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Habitacional","Com destinação específica","Outros indexadores","<= 15","32749,57","87941,49","203536,81","164643,81","460658,84","131915,23","0,00","1081445,75","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Habitacional","Com destinação específica","Pós-fixado","148","1211684,07","3293584,17","7238435,74","5310145,68","11206581,06","1773422,18","13284,78","30047137,68","0,00","104733,68"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Outros créditos","Sem destinação específica","Outros indexadores","<= 15","4704,99","0,00","0,00","0,00","0,00","0,00","1,58","4706,57","1,58","1,58"
