"ocupacao","porte","modalidade","numero_de_operacoes","a_vencer_ate_90_dias","a_vencer_de_91_ate_360_dias","a_vencer_de_361_ate_1080_dias","a_vencer_de_1081_ate_1800_dias","a_vencer_de_1801_ate_5400_dias","a_vencer_acima_de_5400_dias","vencido_acima_de_15_dias","carteira_ativa","carteira_inadimplida_arrastada","ativo_problematico"
"Aposentado/pensionista","Acima de 20 salários mínimos","Cartão de crédito",18,17618.5,220382.88,0,0,0,0,0,23800138,0,1485.31
"Aposentado/pensionista","Acima de 20 salários mínimos","Cartão de crédito",12670,65711434.19,23443162.6,1384398.42,327216.68,142693.07,21098.27,2949220.83,9397922406,2234571.29,4327403.61
"Aposentado/pensionista","Acima de 20 salários mínimos","Cartão de crédito",8,1224.19,3566.73,8778.61,7499.56,15559.25,0,33774.57,7040291,32934.85,70402.91
"Aposentado/pensionista","Acima de 20 salários mínimos","Empréstimo com consignação em folha",3207,13127720.86,34509678.69,73711190.95,45848722.54,39959232.59,0,550265.97,20770681160,3184067.53,6088015.89
"Aposentado/pensionista","Acima de 20 salários mínimos","Empréstimo com consignação em folha",8,0,0,0,0,0,100681.9,94369.45,19505135,94369.45,195051.35
"Aposentado/pensionista","Acima de 20 salários mínimos","Empréstimo sem consignação em folha",8,0,112559.62,0,0,0,0,0,11255962,0,0
"Aposentado/pensionista","Acima de 20 salários mínimos","Empréstimo sem consignação em folha",1628,6651369.48,15443259.99,19150223.24,8722278.81,5168121.68,0,709730.13,5584498333,2562986.05,4253914.32
"Aposentado/pensionista","Acima de 20 salários mínimos","Habitacional",8,32749.57,87941.49,203536.81,164643.81,460658.84,131915.23,0,108144575,0,0
"Aposentado/pensionista","Acima de 20 salários mínimos","Habitacional",148,1211684.07,3293584.17,7238435.74,5310145.68,11206581.06,1773422.18,13284.78,3004713768,0,104733.68
"Aposentado/pensionista","Acima de 20 salários mínimos","Outros créditos",8,4704.99,0,0,0,0,0,1.58,470657,1.58,1.58
"Aposentado/pensionista","Acima de 20 salários mínimos","Outros créditos",1556,4123117.27,3761661.57,4285342.77,2500546.67,2571271.25,0,775923.28,1801786281,1492965.92,5154413.48
"Aposentado/pensionista","Acima de 20 salários mínimos","Outros créditos",8,19276.02,50842.08,102207.21,16267.57,8031.57,0,246280.44,44290489,245847,265187.71
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",8,0,118013.8,284222.64,229490.1,112070.34,0,0,74379688,0,0
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",150,8336683.36,15804996.95,6276228.97,2304961.45,2010679.92,105687.84,29516.93,3486875542,0,304345.18
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",8,55766.29,234284.03,580804.19,111532.58,113888.86,0,0,109627595,0,0
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",8,69104.19,822975.13,1283349.84,0,0,0,0,217542916,0,0
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",8,0,167955.95,335911.9,167955.97,0,0,0,67182382,0,0
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",23,47711.35,3625335,1179441.19,1275288.54,2480852.19,0,0,860862827,0,0
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",8,0,1477760.06,2959404.11,187344.14,0,0,0,462450831,0,0
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",8,0,237111.95,0,0,0,0,0,23711195,0,0
"Aposentado/pensionista","Acima de 20 salários mínimos","Veículos",232,1604981.46,3988716.18,4755515.2,827673.95,0,51107.2,97845.4,1132583939,87218.85,202360.29
"Aposentado/pensionista","Até 1 salário mínimo","Cartão de crédito",8,0,36045.31,0,0,0,0,0,3604531,0,0
"Aposentado/pensionista","Até 1 salário mínimo","Cartão de crédito",15113,8179760.29,3448968.93,911876.94,222557.17,59543.25,13889.98,1926529.82,1476312638,1595605.74,2640545.53
"Aposentado/pensionista","Até 1 salário mínimo","Cartão de crédito",87,1956.83,5344.71,11689.14,7523.85,6510.42,0,265115.73,29814068,268968.91,292437.26
"Aposentado/pensionista","Até 1 salário mínimo","Empréstimo com consignação em folha",27708,13792250.67,35903763.64,67141032.7,32070875.84,15846242.98,0,1182487.14,16593665297,4317334.37,7558849.99
"Aposentado/pensionista","Até 1 salário mínimo","Empréstimo com consignação em folha",177,0,0,0,0,0,0,1356733.83,135673383,1356733.83,1356733.83
"Aposentado/pensionista","Até 1 salário mínimo","Empréstimo sem consignação em folha",2419,733124.68,1303992.43,1257564.5,364731.66,188179.29,15365.01,503674.98,436663255,1220426.79,1792691.72
"Aposentado/pensionista","Até 1 salário mínimo","Empréstimo sem consignação em folha",18,2286.98,1746.84,4548.74,2712.9,3723.83,0,27972.5,4299179,42058.47,42058.47
"Aposentado/pensionista","Até 1 salário mínimo","Habitacional",8,48804.23,132713.45,292546.64,219696.62,408588.31,49140.24,0,115148949,0,0
"Aposentado/pensionista","Até 1 salário mínimo","Habitacional",673,1496021.31,3820498.19,8857753.84,7085044.17,18640740.22,4520580.36,133842.62,4455448071,476893.97,2192643.57
"Aposentado/pensionista","Até 1 salário mínimo","Habitacional",8,10428.77,14535.16,30271.48,25794.45,73530.8,0,0,15456066,0,0
"Aposentado/pensionista","Até 1 salário mínimo","Outros créditos",3607,1746444.2,1446367.36,1552821.02,570652.74,206735.22,47401.64,690622.43,626104461,1305276.85,2774193.49
"Aposentado/pensionista","Até 1 salário mínimo","Outros créditos",76,24145.87,58032.09,109428.78,69835.79,89838.91,0,167791.89,51907333,194893.5,196673.42
"Aposentado/pensionista","Até 1 salário mínimo","Rural e agroindustrial",8,0,169614.21,19362.9,17990.41,0,44174.4,0,25114192,0,0
"Aposentado/pensionista","Até 1 salário mínimo","Rural e agroindustrial",8,0,0,21771.49,0,0,0,0,2177149,0,0
"Aposentado/pensionista","Até 1 salário mínimo","Veículos",371,1395039.17,3351272.93,4610969.93,787810.86,13609.06,0,232422.63,1039112458,760770.51,1315036.24
"Aposentado/pensionista","Indisponível","Cartão de crédito",17773,6261365.78,1649527.06,2361215.06,3065622.21,1757497.97,0,4555435.65,1965066373,4165024.79,4822100.44
"Aposentado/pensionista","Indisponível","Cartão de crédito",8,0,0,0,0,0,0,6922.58,692258,6902.12,6922.58
"Aposentado/pensionista","Indisponível","Empréstimo com consignação em folha",8,491.17,1689.86,874.53,0,0,0,0,305556,0,0
"Aposentado/pensionista","Indisponível","Empréstimo com consignação em folha",7226,3038721.63,7701706.37,14374377.87,6441226.02,2426548.74,0,2748230.87,3673081150,10330801.92,10588433.09
"Aposentado/pensionista","Indisponível","Empréstimo com consignação em folha",60,0,0,0,0,0,0,227656.03,22765603,227656.03,227656.03
"Aposentado/pensionista","Indisponível","Empréstimo sem consignação em folha",21,688.93,472.07,1116.14,390.21,132.14,0,0,279949,0,0
"Aposentado/pensionista","Indisponível","Empréstimo sem consignação em folha",309,69669.81,126968.2,130982.4,13426.14,2813.85,0,212284.75,55614515,348786.96,372016.52
"Aposentado/pensionista","Indisponível","Habitacional",8,2279.77,6418.92,15080.37,12519.96,32597.11,0,0,6889613,0,0
"Aposentado/pensionista","Indisponível","Habitacional",331,693441.13,1838055.47,4168167.22,3219676.16,7273459.18,1248230.62,146951.61,1858798139,1027118.27,2327980.95
"Aposentado/pensionista","Indisponível","Habitacional",8,14395.31,39369.12,93871.96,79368.01,130980.29,23515.84,0,38150053,0,0
"Aposentado/pensionista","Indisponível","Outros créditos",1319,3568375.73,622298.99,557596.78,186168.43,11110.5,0,625944.38,557149481,602372.36,968911.81
"Aposentado/pensionista","Indisponível","Outros créditos",8,6674.27,17374.62,30990.6,16072.45,24698.73,0,5156.81,10096748,5156.81,5156.81
"Aposentado/pensionista","Indisponível","Veículos",226,755509.16,1879508.42,2508515.48,367394.45,3093.28,0,282333.07,579635386,548828.63,774102.26
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Cartão de crédito",8,158.15,11338.54,0,0,0,0,0,1149669,0,0
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Cartão de crédito",69516,51803721.83,22440387.67,2574331.7,792356.02,358371.35,36059.12,8505912.58,8651114027,6965142.18,11086757.05
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Cartão de crédito",249,6881.65,16262.99,22731.07,10346.32,16348.37,0,745047.94,81761834,798553.06,801122.36
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Empréstimo com consignação em folha",8,4104.68,11081.74,10399.32,871.16,0,0,1480.93,2793783,1480.93,1480.93
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Empréstimo com consignação em folha",70747,40217282.43,105041986.18,198731303.4,98974847.66,52085563.4,5335.86,2806534.17,49786285310,11448395.94,19329497.98
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Empréstimo com consignação em folha",310,1013.95,2632.65,0,0,0,0,2344988.02,234863462,2348634.62,2348634.62
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Empréstimo sem consignação em folha",45,561.24,2843.26,3430.2,1193.86,631.59,0,0,866015,0,0
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Empréstimo sem consignação em folha",8938,3227981.65,6416755.07,6332926.76,2027585.86,877947.43,123730.07,1187079.46,2019400630,2758827.68,4826130.7
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Empréstimo sem consignação em folha",31,769.09,2205.17,2270.75,6.77,0,0,190246.67,19549845,195498.45,195498.45
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Habitacional",8,25299.35,64754.96,146457.07,114778.8,286921.72,37743.83,0,67595573,0,0
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Habitacional",1154,2267678.91,6058045.64,13978624.77,11194115.39,29356203.54,7357124.5,200830.58,7041262333,972112.95,4098142.53
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Habitacional",8,11028.36,30417.49,73104.3,62607.56,166498.31,47917.75,0,39157377,0,0
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Outros créditos",8,0,0,0,0,0,2881.53,0,288153,0,2881.53
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Outros créditos",8,23046.67,39477.06,85915.86,63468.56,91460.41,0,0,30336856,0,131851.8
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Outros créditos",12200,6515640.62,6619294.59,7638064.51,2928306.07,1375672.41,40228.62,2348689.34,2746589616,5078993.27,11837639.01
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Outros créditos",219,78719.47,200493.48,364923.74,152056.91,165317.06,0,679417.67,164092833,1001934.3,1009773.15
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Rural e agroindustrial",61,281726.9,574226.68,296029.6,134858.44,141914.46,19496.15,512067.73,196031996,268603.15,598520.8
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Rural e agroindustrial",8,29454.32,0,29454.33,0,0,0,30044.25,8895290,88952.9,88952.9
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Rural e agroindustrial",8,0,127517.63,0,0,0,0,0,12751763,0,0
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Rural e agroindustrial",8,0,118310.99,307925.39,242781.62,619856.61,0,87017.56,137589217,375250.35,1375892.17
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Rural e agroindustrial",8,17361.55,0,0,0,0,0,0,1736155,0,0
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Rural e agroindustrial",8,0,159143.29,159143.31,0,0,0,157240.19,47552679,475526.79,475526.79
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Veículos",1548,5501158.73,13776006.49,18841528.06,3067453.82,8101.4,0,1369612.38,4256386088,3927767.78,5268897.79
"Aposentado/pensionista","Mais de 1 a 2 salários mínimos","Veículos",8,0,0,0,0,0,0,6924.07,692407,6924.07,6924.07
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Cartão de crédito",40,25265.65,277743.31,15629.19,0,0,0,2681.59,32131974,0,0
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Cartão de crédito",45353,168460861.54,68041008.39,3227819.29,675144.66,395860.06,141152.59,11561242.29,25250308882,8730233.49,15380794.86
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Cartão de crédito",30,4319.81,10915.65,26397.85,18198.36,24624.68,0,433933.38,51838973,518346,518389.73
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Empréstimo com consignação em folha",8,1286.97,4401.82,6226.52,507.26,0,0,0,1242257,0,0
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Empréstimo com consignação em folha",12951,31874717.67,83646728.84,173798327.07,102213539.38,73958243.93,0,2271395.53,46776295242,9339947.31,17929863.51
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Empréstimo com consignação em folha",34,3971.44,14557,49063.62,49063.62,108349.37,0,726264.82,95126987,951269.87,951269.87
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Empréstimo sem consignação em folha",8,6737.85,17946.2,30925.76,0,0,0,0,5560981,0,0
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Empréstimo sem consignação em folha",6222,12114639.48,32326384.18,40366498.82,19155169.79,12972304.69,345040.3,1629288.73,11890932599,5461438.95,9804982.13
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Empréstimo sem consignação em folha",8,1399.6,3794.6,9258.46,7494.64,12441.86,0,258281.63,29267079,292670.79,292670.79
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Habitacional",8,104966.52,280799.85,641699.91,500996.19,1221044.72,240320.69,0,298982788,0,0
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Habitacional",8,13426.23,37575.52,82914.85,60418.96,146926.52,15484.09,0,35674617,0,0
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Habitacional",630,3746242.51,10094664.96,22461159.51,17019328.68,37449626.08,5848738.69,207114.4,9682687483,1517486.78,1882901.94
"Aposentado/pensionista","Mais de 10 a 20 salários mínimos","Habitacional",8,111624.22,303853.91,722861.72,611760.27,1739290.08,283897.57,1518.06,377480583,132122.04,132122.04
